id,nlayers,main_train_pts,aux_train_pts,relatedness,s_a,s_b,single_task,train_seed,validation-1/loss
deep-nonlinear-b5399f1d24f04950a6fac1caf167f5d6,3,400,400,0.25,0.6309573444801929,0.6309573444801929,False,3,2.2060832977294917
deep-nonlinear-0a77e9cf4c18470d8a0a822133e0e7e7,1,200,200,0.75,10.0,0.01,False,0,2.190361738204956
deep-nonlinear-d810f631727048bb9265e73e9983019c,5,200,200,0.75,0.01,0.03981071705534973,False,4,2.29831337928772
deep-nonlinear-9cac7b507c0c421e8a66fd15ece0e99d,5,200,200,0.5,0.03981071705534973,0.6309573444801929,False,3,2.2913646697998047
deep-nonlinear-4fc5d7e8cd93425fa0f6f54574e1b472,1,800,800,0.25,2.51188643150958,0.01,False,1,1.4295063018798828
deep-nonlinear-bd78a7fae9d34b089efde70daa1239ac,1,200,200,0.75,0.6309573444801929,0.15848931924611134,False,2,2.184268951416016
deep-nonlinear-0abccefe79734d60af1770373dcbe3e0,1,400,400,0.5,0.01,2.51188643150958,False,1,2.4101338386535645
deep-nonlinear-4d278f0e0c724d7a942ce1b9d3526d79,5,400,400,0.5,0.6309573444801929,0.03981071705534973,False,0,2.249054431915283
deep-nonlinear-ed86ac2ad5b64f68a9e4f011f8a220d8,1,800,800,0.0,0.03981071705534973,0.15848931924611134,False,2,2.1947598457336426
deep-nonlinear-e4bebb118a9348818f269bd52d721ab3,5,400,400,0.0,0.01,10.0,False,0,2.299759864807129
deep-nonlinear-4b38c9a3436d4e16ba0ad2e65b1ac4ed,1,200,200,0.0,2.51188643150958,10.0,False,0,2.1536884307861333
deep-nonlinear-3ca36dd99cec4a4b8ef9fc03e1712d68,1,400,400,0.75,0.6309573444801929,10.0,False,2,1.8066065311431885
deep-nonlinear-ed0e48aa10f845459288576b7db364e0,5,400,400,0.0,0.15848931924611134,1.0,True,1,2.284907341003418
deep-nonlinear-1f5e61a1566842d0958535b04b23c939,5,200,200,0.0,0.15848931924611134,10.0,False,1,2.2955920696258545
deep-nonlinear-645f45d11dc84872b68744c8c67b661b,5,800,800,0.25,2.51188643150958,0.03981071705534973,False,2,1.9536491632461548
deep-nonlinear-ab66c86950eb4e3fb7c17f12d54a8f21,3,400,400,0.0,0.15848931924611134,2.51188643150958,False,2,2.237679481506348
deep-nonlinear-3b06fe4968f844feae9c9f4867e5c71c,5,200,200,0.25,2.51188643150958,10.0,False,3,2.2421338558197017
deep-nonlinear-b481f4f7bd3b4772906848ffc1320496,3,200,200,1.0,0.6309573444801929,2.51188643150958,False,3,2.229182720184326
deep-nonlinear-c5fd0d5e31424780812c788e74afa8ec,5,200,200,0.75,10.0,0.6309573444801929,False,0,2.293411493301392
deep-nonlinear-b024825c97cc4eceb279a1b301a26b86,5,800,800,1.0,0.15848931924611134,0.15848931924611134,False,1,2.1694817543029785
deep-nonlinear-407c42db6e4844469a8cc14e8a9d6149,3,400,400,0.25,0.15848931924611134,10.0,False,4,2.241515874862671
deep-nonlinear-22b2ceedddab4be8bfe8046323a61775,1,400,400,0.0,2.51188643150958,0.6309573444801929,False,3,1.8770476579666135
deep-nonlinear-ce0d750c36c54038a30e6d067c16fbd2,5,800,800,1.0,0.03981071705534973,0.03981071705534973,False,3,2.275136947631836
deep-nonlinear-86d1fa8336694d9cb72379004d3cf705,1,200,200,0.5,0.6309573444801929,0.15848931924611134,False,1,2.1958792209625244
deep-nonlinear-6502231ee73f4b3ba87f5d068c4d685f,1,800,800,0.0,10.0,0.15848931924611134,False,4,1.354565143585205
deep-nonlinear-ea2565a614ca4d7aa11fe8e27584e827,5,800,800,1.0,0.15848931924611134,0.15848931924611134,False,4,2.1375694274902344
deep-nonlinear-6a6b72b8201543769e7451db328209f1,1,200,200,0.0,0.15848931924611134,0.01,False,4,2.2707643508911133
deep-nonlinear-2924502707fb41f3a5c42f5a8b576b91,1,400,400,0.25,0.01,10.0,False,3,2.4288158416748047
deep-nonlinear-87f47bcce0d248cb826cbc4e348c54fe,5,400,400,0.25,0.15848931924611134,0.15848931924611134,False,2,2.2592806816101074
deep-nonlinear-2fa0be83dab24f1c8ea6303b084db0f4,3,200,200,0.75,10.0,0.15848931924611134,False,3,2.226491451263428
deep-nonlinear-45cd553a56664e5193908a3ad6810452,5,200,200,0.25,10.0,2.51188643150958,False,3,2.2279295921325684
deep-nonlinear-aa40e1cef32846409cf9daa0e6dda460,3,400,400,1.0,0.03981071705534973,0.6309573444801929,False,3,2.291102170944214
deep-nonlinear-6ba592c831c54fb89b3bb583fdf76282,1,400,400,0.0,10.0,0.03981071705534973,False,1,1.6767499446868896
deep-nonlinear-1454126653a549e9bf85957b9a9ec2cc,1,400,400,1.0,2.51188643150958,0.15848931924611134,False,0,1.7059743404388428
deep-nonlinear-5341151d0dac42ac9e2cdec15849789e,5,800,800,0.25,0.6309573444801929,0.01,False,1,2.11685562133789
deep-nonlinear-f226a5db80b74dbab05426544799c46f,5,400,400,1.0,10.0,2.51188643150958,False,2,2.0817441940307617
deep-nonlinear-958abade4ab343a48c656423ebcfe3dd,5,200,200,1.0,0.03981071705534973,0.01,False,3,2.2981598377227783
deep-nonlinear-7b20474e70734874a5aa2512e3b524cc,1,200,200,1.0,10.0,0.03981071705534973,False,4,1.9883377552032468
deep-nonlinear-4e036032b830492cb7bc7ff1429d04f0,3,800,800,1.0,0.03981071705534973,0.15848931924611134,False,3,2.159738063812256
deep-nonlinear-25eecbace5a44704b205c46eee564bdc,1,400,400,1.0,0.01,0.01,False,1,2.3997488021850586
deep-nonlinear-f300dadf4f8b42dda6b5d592207cd70d,3,400,400,0.0,0.15848931924611134,1.0,True,0,2.1573629379272456
